"notamedia","PAU_CALIFICACION_NOTA_MATERIA","PAU_CALIFICACION_NOTA_MATERIA_DECIL"
2.79487,9.34,10
2.13125,8.1,9
1.55714,8.89,10
1.39286,8.19,9
1.5,8.16,9
1.18103,7.8,8
2.47368,9.15,10
1.30147,7.96,8
1.30833,7.01,6
1.65714,8.61,9
1.12903,8.65,10
1.23596,6.66,5
1.91875,7.97,8
1.08696,5.77,2
1.61667,8.17,9
2.11429,8.67,10
2.07895,9.27,10
1.37903,8.53,10
1.34259,7.68,8
1.37349,8.69,10
1.91667,8.58,9
1.80208,8.64,9
1.45455,8.55,9
1.42045,7.54,7
1.52083,7.86,8
1.83,7.93,8
2.47,8.08,8
2.28,8.47,9
2.90132,9.09,10
1.44706,6.94,6
1.5,8.71,10
1.56429,8,9
1.58333,7.32,7
1.21111,7.38,8
1.30864,6.03,3
1.66892,7.01,7
1.61364,6.86,6
1.31034,7.96,9
1.36364,7.51,8
1.42763,6.73,6
1.30556,7.78,8
1.33621,7.29,7
1.26087,5.95,3
1.825,7.43,7
1.09195,6.52,5
3.57143,8.71,10
2.71429,9.28,10
1.1978,7.17,7
1.56429,8.21,9
2.02857,8.34,9
1.41667,8.06,9
1.14019,7.58,8
1.61429,7.69,8
1.83824,5.78,2
1.35165,6.15,4
1.16484,6.26,4
1.30252,5.94,3
1.17045,7.28,7
1.75,7.75,8
1.32184,7.46,7
1.94792,7.97,8
1.47,6.86,6
1.83,8.6,9
1.62857,6.46,4
1.3913,7.35,7
1.6358,8.67,10
1.03883,7.25,7
1.52427,6.25,4
2.05147,6.83,6
1.11579,7.68,8
1.3964,7.4,7
1.70732,7.3,7
1.34559,7.49,7
1.37363,5.51,4
1.9625,8.28,9
1.48718,6.19,4
1.36429,7.33,7
1.43373,5.6,2
1.3494,6.68,6
1.34559,6.07,9
1.52344,8.5,10
1.24242,5.83,6
1.48438,6.63,6
1.425,6.07,3
1.58065,5.92,3
1.31304,5.64,5
1.18519,7.85,9
1.45395,7.94,9
1.08421,5.55,5
1.14286,5.69,2
1.57237,6.19,4
1.20833,5.56,5
1.2233,5.31,1
1.49533,6.04,8
1.40972,7.76,9
1.18018,5.72,2
1.41667,6.59,5
1.40909,8.2,9
